,Woman with Headscarf[ZWJ sequence:🧕+♀️=🧕‍♀️],Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
,Man with Headscarf[ZWJ sequence:🧕+♂️=🧕‍♂️],Charlotte Buff,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
2017‑12‑24,L2/17‑439,L2/18‑022154‑A45154‑A46†,2017‑06‑28,L2/17‑232,152‑A1L2/17‑374
,Person Sitting,"Jennifer 8. Lee, Alex Marx",2018‑04‑03,L2/18‑091,
,Woman Dancing Ballet[ZWJ sequence:👩+🩰=👩‍🩰],Ruediger Landmann,2018‑03‑31,L2/18‑113,
2017‑12‑24,Man Dancing Ballet[ZWJ sequence:👨+🩰=👨‍🩰],Ruediger Landmann,2018‑03‑31,L2/18‑113,152‑A1L2/17‑374
,Person Looking in Mirror[ZWJ sequence:🧑+🪞=🧑‍🪞],Jennifer Daniel,2019‑04‑02,L2/19‑099,
2017‑12‑24,Man Looking in Mirror[ZWJ sequence:👨+🪞=👨‍🪞],Jennifer Daniel,2019‑04‑02,L2/19‑099,152‑A1L2/17‑374
2017‑12‑24,Woman Looking in Mirror[ZWJ sequence:👩+🪞=👩‍🪞],Jennifer Daniel,2019‑04‑02,L2/19‑099,152‑A1L2/17‑374
Body Parts,Woman Looking in Mirror[ZWJ sequence:👩+🪞=👩‍🪞],Jennifer Daniel,2019‑04‑02,L2/19‑099,152‑A1L2/17‑374
,Mustache,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,L2/14‑250*
,Neuron,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
Activities,Neuron,"Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑18,L2/17‑113,151‑A100L2/17‑131
,Picnic,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,L2/14‑250*
Activities,Barbecue,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,L2/14‑250*
